asv,D1N1_419,D1N2_125,D1N3_90,D1N4_45,D2N1_40,D2N2_125,D2N3_200,D2N4_620,D2N5_5,total,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species
ASV3925,0,0,0,0,0,0,57,0,0,57,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica
ASV768,0,0,0,0,0,0,0,44,12,56,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Syracosphaerales,Syracosphaerales_X,Syracosphaerales_XX,Syracosphaerales XX sp.
ASV1687,52,0,0,0,0,0,0,0,4,56,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis sp.
ASV3941,56,0,0,0,0,0,0,0,0,56,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV1287,0,0,0,0,0,0,0,28,27,55,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV3406,0,0,0,35,0,0,0,0,19,54,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4014,54,0,0,0,0,0,0,0,0,54,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4042,0,0,0,0,0,0,0,54,0,54,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV3645,0,51,0,0,0,0,0,0,2,53,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2044,0,0,0,0,0,0,0,0,49,49,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_D,Prymnesiophyceae_Clade_D_X,Prymnesiophyceae_Clade_D_XX,Prymnesiophyceae Clade D XX sp.
ASV2451,0,0,0,0,0,0,47,0,1,48,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV3360,0,0,20,0,0,12,13,1,2,48,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_E,Prymnesiophyceae_Clade_E_X,Prymnesiophyceae_Clade_E_XX,Prymnesiophyceae Clade E XX sp.
ASV4240,0,0,0,0,0,0,0,48,0,48,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica
ASV2485,0,0,0,17,0,0,0,20,10,47,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_X,Prymnesiophyceae_XX,Prymnesiophyceae_XXX,Prymnesiophyceae XXX sp.
ASV1140,0,0,0,0,35,0,0,0,9,44,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiophyceae_Clade_B4,Prymnesiophyceae_Clade_B4_X,Prymnesiophyceae Clade B4 X sp.
ASV4386,44,0,0,0,0,0,0,0,0,44,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiophyceae_Clade_B4,Prymnesiophyceae_Clade_B4_X,Prymnesiophyceae Clade B4 X sp.
ASV4387,0,44,0,0,0,0,0,0,0,44,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV4388,0,44,0,0,0,0,0,0,0,44,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis sp.
ASV4436,0,0,0,43,0,0,0,0,0,43,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV1188,0,0,0,0,0,0,0,0,42,42,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4524,41,0,0,0,0,0,0,0,0,41,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis cordata
ASV4536,0,0,0,41,0,0,0,0,0,41,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis sp.
ASV4547,0,0,0,0,0,0,41,0,0,41,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4709,0,0,0,0,0,0,38,0,0,38,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Zygodiscales,Helicosphaeraceae,Helicosphaera,Helicosphaera carteri
ASV1975,0,0,0,0,0,0,0,29,7,36,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina leadbeateri
ASV4905,0,0,0,0,0,0,0,35,0,35,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV1709,0,0,0,0,5,22,0,0,6,33,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2137,0,33,0,0,0,0,0,0,0,33,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium sp.
ASV5060,0,32,0,0,0,0,0,0,0,32,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2922,0,0,8,0,0,0,0,0,21,29,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2097,0,0,0,0,0,0,26,0,0,26,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV5527,0,0,0,0,0,0,0,26,0,26,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV5528,0,0,0,0,0,0,0,26,0,26,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV1841,0,0,0,1,23,0,0,0,0,24,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2770,0,0,11,0,4,2,0,1,6,24,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_X,Prymnesiophyceae_XX,Prymnesiophyceae_XXX,Prymnesiophyceae XXX sp.
ASV1563,0,0,0,0,2,0,0,0,21,23,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV1098,0,0,8,0,1,1,0,0,10,20,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis sp.
ASV1804,15,0,0,5,0,0,0,0,0,20,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV6240,0,0,0,0,0,0,0,0,19,19,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV6353,0,0,0,0,0,0,0,0,18,18,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Calcihaptophycidae,Calcihaptophycidae_X,Calcihaptophycidae_XX,Calcihaptophycidae XX sp.
ASV4686,0,0,2,0,4,8,0,0,2,16,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_E,Prymnesiophyceae_Clade_E_X,Prymnesiophyceae_Clade_E_XX,Prymnesiophyceae Clade E XX sp.
ASV5768,0,0,0,0,15,0,0,0,0,15,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA
ASV6736,0,0,0,0,0,15,0,0,0,15,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV6752,0,0,0,0,0,0,0,15,0,15,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2460,0,0,0,0,10,0,0,0,4,14,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV3158,0,0,0,0,0,0,0,0,13,13,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium polylepis
ASV7031,0,0,0,13,0,0,0,0,0,13,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiophyceae_Clade_B4,Prymnesiophyceae_Clade_B4_X,Prymnesiophyceae Clade B4 X sp.
ASV7236,0,0,0,12,0,0,0,0,0,12,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV1562,0,0,0,1,3,0,0,0,7,11,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2953,0,0,0,0,5,0,0,0,5,10,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2818,0,0,0,5,4,0,0,0,0,9,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2826,0,0,0,0,0,0,0,0,9,9,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Syracosphaerales,Syracosphaerales_X,Syracosphaerales_XX,Syracosphaerales XX sp.
ASV3294,0,0,0,0,0,0,0,0,9,9,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Calcihaptophycidae,Chrysoculteraceae,Chrysoculter,Chrysoculter sp.
ASV7892,0,0,9,0,0,0,0,0,0,9,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV8145,0,0,8,0,0,0,0,0,0,8,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA
ASV8146,0,0,8,0,0,0,0,0,0,8,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA
ASV1816,0,0,0,0,0,0,0,0,7,7,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2599,0,0,0,7,0,0,0,0,0,7,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV2601,0,0,0,0,7,0,0,0,0,7,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV8424,0,0,7,0,0,0,0,0,0,7,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV8443,0,0,0,2,5,0,0,0,0,7,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Calcihaptophycidae,Rhabdosphaeraceae,Algirosphaera,Algirosphaera robusta
ASV8532,0,0,0,0,0,0,0,0,7,7,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_F,Prymnesiophyceae_Clade_F_X,Prymnesiophyceae_Clade_F_XX,Prymnesiophyceae Clade F XX sp.
ASV1550,0,0,0,0,6,0,0,0,0,6,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_D,Prymnesiophyceae_Clade_D_X,Prymnesiophyceae_Clade_D_XX,Prymnesiophyceae Clade D XX sp.
ASV2873,0,0,0,0,0,0,0,0,6,6,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis sp.
ASV8758,0,0,6,0,0,0,0,0,0,6,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV8814,0,0,0,0,0,6,0,0,0,6,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium sp.
ASV2887,0,0,0,0,1,0,0,0,4,5,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4603,0,0,0,0,0,0,0,0,5,5,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4749,0,0,0,0,5,0,0,0,0,5,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,Prymnesium sp.
ASV9200,0,0,0,0,0,0,0,0,5,5,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_F,Prymnesiophyceae_Clade_F_X,Prymnesiophyceae_Clade_F_XX,Prymnesiophyceae Clade F XX sp.
ASV2286,0,0,0,0,0,0,0,0,4,4,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV5299,0,0,0,0,0,0,0,0,4,4,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA
ASV9465,0,0,4,0,0,0,0,0,0,4,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesiaceae_X,Prymnesiaceae X sp.
ASV9466,0,0,4,0,0,0,0,0,0,4,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV4066,0,0,0,0,1,0,0,0,2,3,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp.
ASV9850,0,0,0,3,0,0,0,0,0,3,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_E,Prymnesiophyceae_Clade_E_X,Prymnesiophyceae_Clade_E_XX,Prymnesiophyceae Clade E XX sp.
ASV9948,0,0,0,0,0,0,0,0,3,3,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_E,Prymnesiophyceae_Clade_E_X,Prymnesiophyceae_Clade_E_XX,Prymnesiophyceae Clade E XX sp.
ASV324,57,30,27,434,251,4,66,157,84,1110,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pycnococcaceae_X,Pycnococcaceae X sp.
ASV791,0,0,0,0,45,0,16,34,0,95,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Halosphaeraceae,Halosphaera,Halosphaera sp.
ASV2466,0,0,12,0,0,0,68,0,0,80,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pycnococcaceae_X,Pycnococcaceae X sp.
ASV3325,0,78,0,0,0,0,0,0,0,78,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pterospermaceae,Pterosperma,Pterosperma sp.
ASV843,0,0,0,0,0,0,60,0,2,62,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pyramimonadales XX sp.
ASV4363,0,0,0,0,0,0,0,45,0,45,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadales_X,Pyramimonadales_XX,Pyramimonadales XX sp.
ASV2107,0,0,0,0,0,0,0,40,0,40,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Halosphaeraceae,Halosphaera,Halosphaera sp.
ASV701,0,0,0,0,25,0,0,0,10,35,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas sp.
ASV5697,0,0,0,0,0,0,0,0,24,24,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Halosphaeraceae,Halosphaera,Halosphaera sp.
ASV754,0,0,21,0,0,0,0,0,0,21,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas sp.
ASV7519,0,0,0,0,0,0,0,0,11,11,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas sp.
ASV2503,0,0,0,0,3,0,0,0,3,6,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pterospermaceae,Pterosperma,NA
ASV7263,0,0,0,0,4,0,0,0,0,4,Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas sp.
ASV2351,0,136,6,0,0,3,0,0,0,145,Eukaryota,Rhizaria,Radiolaria,RAD-C clade,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,RAD-C Xb X sp.
ASV2920,0,0,16,3,18,3,0,0,0,40,Eukaryota,Rhizaria,Radiolaria,RAD-C clade,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,RAD-C Xb X sp.
ASV6706,0,0,15,0,0,0,0,0,0,15,Eukaryota,Rhizaria,Radiolaria,RAD-C clade,RAD-C_X,RAD-C_Xa,RAD-C_Xa_X,RAD-C Xa X sp.
ASV6873,0,0,0,14,0,0,0,0,0,14,Eukaryota,Rhizaria,Radiolaria,RAD-C clade,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,RAD-C Xb X sp.
ASV7903,0,0,0,9,0,0,0,0,0,9,Eukaryota,Rhizaria,Radiolaria,RAD-C clade,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,RAD-C Xb X sp.
ASV9551,0,0,0,0,0,0,4,0,0,4,Eukaryota,Rhizaria,Radiolaria,RAD-C clade,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,RAD-C Xb X sp.
ASV4024,0,0,0,2,0,0,0,0,2,4,Eukaryota,Hacrobia,Haptophyta,Rappephyceae,Pavlomulinales,Pavlomulinaceae,Pavlomulina,Pavlomulina ranunculiformis
ASV1,1787,3363,19536,153,105,106036,6291,2300,383,139954,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6 X sp.
ASV2,1223,1809,60242,161,89,39269,11135,1669,290,115887,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6 X sp.
ASV4,1212,198,1113,51989,13447,430,213,570,609,69781,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1 X sp.
ASV16,543,574,2049,24342,8898,1857,1285,1611,144,41303,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1 X sp.
ASV13,362,2208,3325,1,36,24342,5763,2558,198,38793,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7 X sp.
ASV21,569,488,51,77,61,10104,17893,1791,130,31164,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7 X sp.
ASV31,147,258,18771,754,692,814,970,196,109,22711,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11 X sp.
ASV8,2052,4132,2447,785,618,1707,3472,6507,350,22070,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1 X sp.
ASV37,113,1573,7630,10,0,4123,2387,2302,181,18319,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6 X sp.
ASV57,149,79,35,1,0,4171,10891,203,45,15574,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2 X sp.
ASV43,309,1076,0,0,0,784,10024,1606,148,13947,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6 X sp.
ASV3,2647,523,250,623,3552,129,1904,1248,1925,12801,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1 X sp.
ASV54,291,1367,63,42,18,1628,5316,2692,175,11592,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11 X sp.
ASV86,119,1412,2307,0,0,3111,2114,389,86,9538,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2 X sp.
ASV69,168,84,171,7320,882,270,183,153,287,9518,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1 X sp.
ASV66,175,492,87,0,0,2685,2940,2830,89,9298,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2 X sp.
ASV42,242,492,29,1158,5116,42,149,135,1025,8388,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,Dino-Group-III XX sp.
ASV71,0,282,526,272,0,1008,4566,1627,88,8369,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II_X,Dino-Group-II_XX,Dino-Group-II XX sp.
ASV93,92,241,2968,351,104,1959,749,575,89,7128,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7 X sp.
ASV119,0,112,3578,21,0,118,725,1873,44,6471,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7 X sp.
ASV17,754,99,77,3411,383,4,1517,101,92,6438,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1 X sp.
ASV82,0,1112,494,196,138,473,1447,2385,119,6364,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6 X sp.
ASV134,0,3,73,4209,1506,107,45,138,31,6112,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7 X sp.
ASV127,0,813,282,29,0,1205,1622,1435,49,5435,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6 X sp.
ASV128,98,44,292,3611,903,164,121,172,19,5424,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11 X sp.
ASV103,45,503,332,2,0,812,1284,2324,93,5395,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-21,Dino-Group-II-Clade-21_X,Dino-Group-II-Clade-21 X sp.
ASV163,0,114,4486,3,0,47,316,350,13,5329,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2 X sp.
ASV145,0,352,135,41,0,2082,1906,470,36,5022,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,Dino-Group-II-Clade-4 X sp.
ASV18,1501,559,5,213,407,14,288,513,1401,4901,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-20,Dino-Group-II-Clade-20_X,Dino-Group-II-Clade-20 X sp.
ASV123,0,57,317,258,50,2233,1277,208,63,4463,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5 X sp.
ASV194,0,0,3117,0,0,471,706,27,3,4324,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7 X sp.
ASV195,0,0,679,0,0,337,2945,65,21,4047,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2 X sp.
