asv,D1N1_419,D1N2_125,D1N3_90,D1N4_45,D2N1_40,D2N2_125,D2N3_200,D2N4_620,D2N5_5,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1567,0,10,11,0,0,72,76,60,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1487,0,0,37,0,0,66,71,54,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV1625,0,12,17,0,0,78,73,47,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1802,0,19,118,28,11,51,0,0,0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,NA,NA
ASV952,30,4,24,49,62,21,7,12,17,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,NA
ASV1524,0,4,66,21,5,60,38,32,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,NA,NA
ASV642,0,0,0,0,15,0,0,0,210,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1340,0,8,4,0,0,63,78,72,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1618,8,17,134,4,0,50,6,4,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,NA
ASV1695,0,0,67,89,37,7,0,0,25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1872,0,27,90,32,0,62,14,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV640,2,3,0,80,82,6,0,1,50,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1757,0,10,134,8,0,46,18,8,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1858,0,31,158,2,0,25,8,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV393,0,0,8,84,70,21,0,6,34,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,NA
ASV1544,0,0,9,0,0,57,92,64,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1766,0,27,109,0,0,52,18,16,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV1881,0,11,147,0,12,40,12,0,0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV431,0,0,0,36,105,0,0,0,80,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1226,0,1,0,32,5,62,72,49,0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,NA
ASV1768,0,0,31,0,0,77,79,34,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1601,0,4,11,0,0,94,65,46,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,OM182 clade,NA,NA
ASV1683,0,60,40,0,0,39,25,56,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV1700,0,26,17,0,0,90,41,46,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1862,0,47,109,3,0,44,17,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV106,0,0,6,142,21,6,0,6,38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1756,0,8,73,16,0,82,40,0,0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
ASV334,0,0,0,6,44,0,0,0,168,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128,NA
ASV1572,0,0,0,0,0,19,37,162,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A clade,NA,NA
ASV1678,0,0,0,0,0,33,76,109,0,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV492,4,0,40,27,25,0,0,7,114,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA
ASV1393,0,21,4,0,0,46,73,73,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV1674,0,2,13,0,0,73,75,54,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV329,0,0,4,85,54,6,11,0,56,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1561,0,14,0,0,0,49,71,82,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1611,0,0,8,0,0,40,79,89,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1704,0,0,10,0,0,82,69,55,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1722,0,68,22,0,0,52,40,34,0,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Arctic95B-14,NA,NA
ASV1279,0,0,0,180,35,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group,NA
ASV1607,0,11,5,0,0,40,89,70,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
ASV1915,215,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Candidatus Anammoximicrobium,NA
ASV1917,0,45,104,4,0,55,7,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV939,0,0,0,46,94,10,0,0,64,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1732,0,3,74,0,0,58,62,17,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,NA,NA
ASV630,0,0,12,122,42,23,0,0,14,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,NA,NA
ASV1575,0,7,4,0,0,53,75,74,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1673,0,14,0,0,0,54,82,63,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV1746,0,17,68,0,0,84,36,8,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,BD1-7 clade,NA
ASV1531,0,0,147,65,0,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1654,0,12,15,0,0,57,59,69,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV1835,0,9,88,0,0,51,47,17,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
ASV1672,0,11,13,0,0,29,81,77,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1693,0,5,13,0,0,39,54,100,0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
ASV1942,0,7,130,9,0,60,5,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV567,0,0,0,49,83,0,0,0,78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1300,2,0,0,41,43,1,0,0,123,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1615,0,31,15,0,0,51,41,72,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1692,0,0,0,0,0,67,87,56,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV1855,0,23,8,0,0,132,47,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV1901,0,5,79,14,12,74,18,8,0,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,NA
ASV1651,0,4,6,0,0,36,97,66,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1785,0,0,9,113,63,5,2,0,17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
ASV1542,0,10,0,0,0,44,94,60,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV1865,0,12,88,0,0,56,49,3,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV937,0,0,0,21,106,6,0,0,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,NA
ASV1509,0,5,0,0,0,48,83,71,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV1566,0,7,0,0,0,54,59,87,0,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
ASV1719,0,18,28,0,0,37,49,75,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV1878,0,50,85,0,0,41,18,13,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV1965,207,0,0,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,NA
ASV390,0,0,0,0,65,0,4,0,137,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA
ASV1146,0,0,25,54,30,91,0,0,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1848,0,32,61,0,0,70,32,11,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV1875,0,13,12,0,0,86,48,47,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1966,0,81,64,4,0,57,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1973,206,0,0,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,NA
ASV1974,206,0,0,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,NA,NA
ASV1910,0,19,78,25,0,46,22,15,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA
ASV1948,0,20,43,7,10,64,41,20,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Maricurvus,NA
ASV1887,0,2,65,28,6,103,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,NA
ASV486,0,0,13,59,63,11,0,0,57,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1996,0,0,110,25,5,50,10,0,3,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV2003,0,10,169,0,0,24,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV1728,0,6,25,0,0,65,66,40,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV2009,202,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV2011,202,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,NA
ASV1266,3,11,59,22,36,17,12,0,41,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Aliiglaciecola,NA
ASV1842,0,9,21,0,0,56,61,54,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV1877,23,8,42,7,26,26,24,42,3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga,NA
ASV1897,0,46,36,4,3,54,30,28,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV736,0,0,0,25,110,0,0,0,65,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV1586,0,0,10,0,0,37,54,99,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV1730,0,18,3,0,0,51,62,66,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1570,0,4,1,0,0,65,65,64,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1599,0,0,0,0,0,13,73,113,0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,NA
ASV1795,0,0,7,0,0,55,86,51,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1686,0,20,15,0,0,68,61,33,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV2046,197,0,0,0,0,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,NA,NA
ASV1037,0,0,0,75,79,0,0,21,21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1703,0,5,0,0,0,30,91,70,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV2025,0,14,73,8,0,72,25,4,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV2032,0,46,99,4,0,37,0,10,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1648,1,6,0,0,0,60,80,48,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1975,25,16,4,0,26,43,22,0,58,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,Alcanivorax venustensis
ASV2033,0,19,103,13,0,47,12,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
ASV1569,0,0,0,9,75,0,0,0,109,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
ASV2012,0,7,107,4,0,51,24,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV2082,0,44,132,0,0,12,5,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV927,0,0,0,31,73,0,0,0,88,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1 clade,NA,NA
ASV1273,0,0,0,39,104,0,0,0,49,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV2050,0,0,0,185,5,0,0,0,2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1690,0,17,0,0,0,35,84,55,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1925,0,12,89,20,0,43,12,15,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Grimontia,NA
ASV2081,0,8,62,90,0,25,6,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV1012,0,0,4,35,102,0,0,0,49,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60(NOR5) clade,NA
ASV1653,0,8,0,0,0,45,80,57,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
ASV888,0,0,0,55,82,0,0,7,45,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV880,0,0,0,17,51,0,0,0,121,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,NA,NA
ASV974,20,23,42,10,2,24,23,35,10,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fabibacter,Fabibacter misakiensis
ASV1773,0,25,15,0,0,31,50,68,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1947,0,24,105,0,0,35,17,8,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV2076,0,36,71,0,0,67,15,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV2107,0,5,99,1,0,64,20,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,FS140-16B-02 marine group,NA
ASV2108,0,118,71,0,0,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV2115,80,98,10,0,0,0,0,0,0,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Scalinduaceae,Candidatus Scalindua,NA
ASV505,0,0,5,52,78,4,0,0,48,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
ASV953,0,0,0,10,57,0,0,0,120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
ASV1747,0,20,8,0,0,42,55,62,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1763,0,14,0,0,0,51,57,65,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV2133,0,36,107,0,0,32,12,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV743,0,0,16,30,57,13,0,0,70,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV1689,0,0,8,32,115,11,12,0,8,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,NA
ASV1791,2,0,18,0,0,36,75,55,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,NA
ASV1811,0,12,9,0,0,41,81,43,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV2136,0,171,15,0,0,0,0,0,0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
ASV274,0,0,0,102,21,7,0,18,37,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,OM182 clade,NA,NA
ASV726,0,0,0,91,71,0,3,0,19,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group,NA
ASV1729,0,12,9,0,0,64,56,43,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1860,0,7,5,0,0,36,54,82,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV1861,0,16,0,0,0,20,59,89,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV2146,0,19,71,14,0,68,6,6,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV2149,0,0,184,0,0,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV1731,0,0,3,0,0,28,98,54,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1937,13,10,23,71,26,11,8,13,8,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
ASV2077,0,0,96,0,0,49,30,8,0,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
ASV2083,0,27,110,5,0,38,3,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV129,0,0,0,109,69,0,4,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
ASV1059,0,0,0,13,79,0,0,2,88,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV1954,0,1,42,0,0,52,45,42,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV855,0,0,4,74,42,13,3,0,45,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
ASV1650,0,6,0,0,0,50,68,57,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1664,0,11,0,0,8,127,26,6,3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Enterovibrio,NA
ASV1824,0,15,4,0,0,49,55,58,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV1868,0,29,53,0,0,38,14,47,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05 cluster,NA
ASV1904,0,29,38,0,0,54,18,42,0,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
ASV2166,19,120,42,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,OM182 clade,NA,NA
ASV2014,0,24,47,0,0,55,44,10,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV951,41,10,6,34,37,26,0,16,9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter hydrocarbonoclasticus
ASV1741,0,15,0,0,0,48,56,59,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1985,0,0,28,2,12,60,50,24,2,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,Pseudobacteriovorax,NA
ASV2125,17,45,93,0,6,17,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Grimontia,NA
ASV2199,178,0,0,0,0,0,0,0,0,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,NA
ASV2203,0,0,178,0,0,0,0,0,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV1774,0,0,56,6,17,57,34,4,3,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV1867,0,6,58,11,5,47,39,11,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,NA
ASV1834,2,0,52,9,9,26,56,17,5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
ASV1797,0,0,0,0,0,37,70,68,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1737,0,0,3,0,0,51,63,57,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,NA,NA
ASV2019,0,4,64,0,0,44,19,43,0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
ASV2233,0,0,0,174,0,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV371,2,0,0,22,45,0,0,0,104,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA,NA
ASV573,0,0,0,85,57,0,0,0,31,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV1726,0,0,0,0,0,34,50,89,0,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
ASV2235,173,0,0,0,0,0,0,0,0,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,NA
ASV2236,173,0,0,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
ASV648,0,0,0,0,9,0,0,0,163,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
ASV2027,0,2,6,0,0,28,69,67,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV2164,0,0,71,0,1,44,49,7,0,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
ASV1736,0,0,4,0,0,11,43,113,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1764,0,0,0,0,0,56,32,83,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1776,0,9,0,0,0,31,49,82,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1777,0,7,51,10,10,42,26,21,4,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
ASV1799,0,9,4,0,0,56,49,53,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
ASV1801,0,9,3,0,0,55,65,39,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
ASV1817,0,9,4,0,0,38,68,52,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1953,0,15,8,0,0,45,60,43,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
ASV1993,0,7,10,0,0,46,64,44,0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
